time_stamp,caption
00:00,"Translator: Peter van de Ven
Reviewer: Ellen Maloney"
00:15,"So, I was on a roll."
00:16,"I was an executive with a nice salary,"
00:18,"annual bonuses, and stock options,"
00:20,all the perks.
00:22,Everything was on track.
00:24,"And on Monday, January 7th, 2008"
00:28,"at three o'clock in the afternoon,"
00:30,"in a small conference room
on the top floor of our building,"
00:33,"the president of the company
wanted to have a quick meeting with me,"
00:36,which wasn't unusual since he was my boss.
00:39,"But the meeting turned out
to be even more brief than expected."
00:44,He fired me.
00:46,"And I'll never forget how his words
just sucked the breath right out of me,"
00:53,"and I left the conference room
in a dazed state,"
00:56,"and I went home and curled up in my bed
in the fetal position for three hours."
01:01,"And while I could go on
in vivid detail about how I felt,"
01:04,"what it did to my self-esteem,
my finances, and so on,"
01:08,"what I now realize is,"
01:09,"while that event created the greatest
amount of discomfort I had ever felt,"
01:15,"it was that discomfort,"
01:17,"the departure from my ordered life,"
01:20,that forever changed it for the better.
01:23,"You see, friends,"
01:24,"what makes you comfortable can ruin you,"
01:27,"and what makes you uncomfortable
is the only way to grow."
01:31,Let me say that again:
01:32,"What makes you comfortable can ruin you,"
01:34,"and only in a state of discomfort,
can you continually grow."
01:39,"Now, I suppose if on January 8th,
had somebody come up and said,"
01:42,"""Gee buddy, getting fired is a good thing
because now you're really going to grow!"""
01:46,I probably would have smacked them.
01:48,"But, pretty quickly I became motivated
to start a new journey,"
01:53,"and after a couple years
of work with my new team"
01:55,"and a PhD friend
at the University of Nebraska,"
01:58,we had this epiphany
02:00,"on how to illustrate and apply
the science of discomfort and growth."
02:06,"We called the concept: the ""Growth Rings."""
02:10,"The Growth Rings represent
living environments"
02:13,that promote or hinder growth.
02:15,"And that includes everything
from your place of work,"
02:18,to even a fishbowl.
02:20,"You see, what dictates
the size of a goldfish"
02:23,is its environment.
02:25,"And while this goldfish
lives in a very safe environment,"
02:28,it's also very limiting in most every way.
02:30,"And when placed
in a more robust environment,"
02:33,"like, say, a small pond,
this can be the result."
02:37,"Now, it also means he could be eaten."
02:40,"But friends, this is you -"
02:43,"the environments
in which you work, live, and play,"
02:46,"they're all a proverbial fishbowl
that dictates your growth."
02:51,"So, the first Growth Ring represents
a low-performing, low-growth environment,"
02:56,called stagnation.
02:58,"Stagnation is understood
by having to follow too many steps,"
03:01,"and permissions, and minutiae."
03:03,"That stifles creativity,
independent thought, and action."
03:08,"To imagine an environment such as this,"
03:10,"think no further than our state
and federal governments."
03:14,"Now, the antithesis
of stagnation is chaos,"
03:18,also low-growth and low-performing.
03:20,"Chaos can be caused by internal
or external events or conditions."
03:25,"We see chaos occur at times
in business mergers,"
03:28,"natural disasters,
and horrific events like 9/11."
03:31,"Chaos is having
zero predictability or control"
03:36,over inputs and outcomes.
03:40,"Coming back down the Growth Rings,"
03:41,"next to stagnation is
the most desirable environment: order."
03:46,"Order is knowing that what you do,
or what is happening in your environment,"
03:51,leads to a predictable outcome.
03:54,"And in predictability, comfort is found."
03:58,"But comfort is also
what makes order so dangerous."
04:01,"Because science shows that anytime
you continually do something,"
04:04,"or even think about something
the same way,"
04:07,you'll eventually stop growing.
04:10,And this applies to every living thing -
04:12,even our dog.
04:16,"You see, if Aspen had a chance,"
04:18,"she'd choose comfort six days a week
and twice on Sundays."
04:22,(Laughter)
04:23,But too much growth-limiting order
